Key,English,German,Russian,French,Spanish,Italian,Japanese,Korean,Chinese
ui.developer.name,Ilya Dementeev,Ilya Dementeev,Илья Дементеев,Ilya Dementeev,Ilya Dementeev,Ilya Dementeev,Ilya Dementeev,Ilya Dementeev,Ilya Dementeev
ui.art.name,Daria Ivanova,Daria Ivanova,Дарья Иванова,Daria Ivanova,Daria Ivanova,Daria Ivanova,Daria Ivanova,Daria Ivanova,Daria Ivanova
ui.gamedesigner.name,Diana Grigorovich,Diana Grigorovich,Диана Григорович,Diana Grigorovich,Diana Grigorovich,Diana Grigorovich,Diana Grigorovich,Diana Grigorovich,Diana Grigorovich
ui.uiux.name,Diana Grigorovich,Diana Grigorovich,Диана Григорович,Diana Grigorovich,Diana Grigorovich,Diana Grigorovich,Diana Grigorovich,Diana Grigorovich,Diana Grigorovich
ui.sounddesigner.name,Daria Ivanova,Daria Ivanova,Дарья Иванова,Daria Ivanova,Daria Ivanova,Daria Ivanova,Daria Ivanova,Daria Ivanova,Daria Ivanova
ui.leveldesigner.name,Ilya Dementeev,Ilya Dementeev,Илья Дементеев,Ilya Dementeev,Ilya Dementeev,Ilya Dementeev,Ilya Dementeev,Ilya Dementeev,Ilya Dementeev
ui.kitten.name,You,Sie,Ты,Vous,Usted,Tu,あなた,당신,你
ui.developer,Developer,Entwickler,Разработчик,Développeur,Desarrollador,Sviluppatore,開発者,개발자,开发人员
ui.art,Art,Kunst,Художник,Art,Arte,Arte,アート,아트,艺术
ui.gamedesigner,Game-Designer,Spiele-Designer,Гейм-дизайнер,Concepteur de jeux,Diseñador de juegos,Game-Designer,ゲームデザイナー,게임 디자이너,游戏设计师
ui.uiux,UI-UX,UI-UX,Дизайнер интерфейса,UI-UX,UI-UX,UI-UX,UI・UX,UI-UX,UI-UX
ui.sounddesigner,Sound-Designer,Sound-Designer,Звуковой дизайнер,Concepteur de son,Diseñador de sonido,Progettista del suono,サウンドデザイナー,사운드 디자이너,音效设计师
ui.leveldesigner,Level-Designer,Level-Designer,Проектировщик уровней,Concepteur de niveau,Diseñador de niveles,Progettista di livelli,レベルデザイナー,레벨 디자이너,关卡设计师
ui.kitten,Kitten,Kätzchen,Котенок,Chaton,Gatito,Gattino,子猫,Kitten,小猫